,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
40,"(10, 35, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
41,"(10, 35, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
42,"(10, 35, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
43,"(15, 5, 20)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
44,"(15, 5, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
45,"(15, 5, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
46,"(15, 10, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
47,"(15, 10, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
48,"(15, 10, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
49,"(15, 15, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
50,"(15, 15, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
51,"(15, 15, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
52,"(15, 20, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
53,"(15, 20, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
54,"(15, 20, 20)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
55,"(15, 20, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
56,"(15, 20, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
57,"(15, 25, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
58,"(15, 25, 15)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
59,"(15, 25, 20)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
60,"(15, 25, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
61,"(15, 30, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
62,"(15, 30, 15)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
63,"(15, 30, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
64,"(15, 30, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
65,"(15, 30, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
66,"(15, 35, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
67,"(15, 35, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
68,"(15, 35, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
69,"(15, 35, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
70,"(15, 35, 35)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
71,"(20, 5, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
72,"(20, 10, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
73,"(20, 15, 5)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
74,"(20, 15, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
75,"(20, 15, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
76,"(20, 15, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
77,"(20, 20, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
78,"(20, 20, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
79,"(20, 25, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
80,"(20, 25, 15)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
81,"(20, 25, 20)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
82,"(20, 25, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
83,"(20, 25, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
84,"(20, 25, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
85,"(20, 30, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
86,"(20, 30, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
87,"(20, 30, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
88,"(20, 30, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
89,"(20, 35, 5)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
90,"(20, 35, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
