,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
30,"(5, 15, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
31,"(5, 15, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
32,"(5, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
33,"(5, 20, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
34,"(5, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
35,"(5, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
36,"(5, 30, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
37,"(5, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
38,"(5, 30, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
39,"(5, 30, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
40,"(5, 30, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
41,"(5, 35, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
42,"(5, 35, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
43,"(10, 5, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
44,"(10, 5, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
45,"(10, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
46,"(10, 5, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
47,"(10, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
48,"(10, 10, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
49,"(10, 20, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
50,"(10, 20, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
51,"(10, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
52,"(10, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
53,"(10, 25, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
54,"(10, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
55,"(10, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
56,"(10, 30, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
57,"(10, 35, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
58,"(10, 35, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
59,"(15, 5, 30)",0.6527196652719666,0.6390243902439025,0.3472803347280335,0.36097560975609755
60,"(15, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
61,"(15, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
62,"(15, 15, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
63,"(15, 15, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
64,"(15, 15, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
65,"(15, 15, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
66,"(15, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
67,"(15, 20, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
68,"(15, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
69,"(15, 25, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
70,"(15, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
71,"(15, 25, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
72,"(15, 30, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
73,"(15, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
74,"(15, 30, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
75,"(15, 30, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
76,"(15, 35, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
77,"(15, 35, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
78,"(15, 35, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
79,"(15, 35, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
80,"(20, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
81,"(20, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
82,"(20, 5, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
83,"(20, 5, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
84,"(20, 10, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
85,"(20, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
86,"(20, 10, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
87,"(20, 15, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
88,"(20, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
89,"(20, 20, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
90,"(20, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
91,"(20, 25, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
92,"(20, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
93,"(20, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
94,"(20, 25, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
