,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
49,"(10, 5, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
50,"(10, 5, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
51,"(10, 5, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
52,"(10, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
53,"(10, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
54,"(10, 5, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
55,"(10, 5, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
56,"(10, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
57,"(10, 10, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
58,"(10, 10, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
59,"(10, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
60,"(10, 10, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
61,"(10, 10, 30)",0.7907949790794979,0.7804878048780488,0.20920502092050208,0.21951219512195122
62,"(10, 10, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
63,"(10, 15, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
64,"(10, 15, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
65,"(10, 15, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
66,"(10, 15, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
67,"(10, 15, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
68,"(10, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
69,"(10, 15, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
70,"(10, 20, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
71,"(10, 20, 10)",0.6527196652719666,0.6292682926829268,0.3472803347280335,0.37073170731707317
72,"(10, 20, 15)",0.7677824267782427,0.7560975609756098,0.23221757322175732,0.24390243902439024
73,"(10, 20, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
74,"(10, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
75,"(10, 20, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
76,"(10, 20, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
77,"(10, 25, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
78,"(10, 25, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
79,"(10, 25, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
80,"(10, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
81,"(10, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
