,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
0,"(20, 30, 30)",0.9665271966527197,0.9804878048780488,0.03347280334728033,0.01951219512195122
1,"(15, 15, 15)",0.9623430962343096,0.9560975609756097,0.03765690376569038,0.04390243902439024
2,"(30, 25, 20)",0.9393305439330544,0.9463414634146341,0.060669456066945605,0.05365853658536585
3,"(30, 30, 10)",0.9330543933054394,0.9317073170731708,0.06694560669456066,0.06829268292682927
4,"(5, 20, 20)",0.9372384937238494,0.9317073170731708,0.06276150627615062,0.06829268292682927
5,"(30, 15, 35)",0.9539748953974896,0.9317073170731708,0.04602510460251046,0.06829268292682927
6,"(10, 10, 10)",0.9456066945606695,0.9170731707317074,0.05439330543933055,0.08292682926829269
