,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
21,"(30, 5, 30)",0.6715481171548117,0.6731707317073171,0.3284518828451883,0.32682926829268294
22,"(15, 35, 25)",0.6631799163179917,0.6682926829268293,0.3368200836820084,0.33170731707317075
23,"(35, 30, 15)",0.6757322175732218,0.6634146341463415,0.32426778242677823,0.33658536585365856
24,"(20, 15, 20)",0.6715481171548117,0.6536585365853659,0.3284518828451883,0.3463414634146341
25,"(30, 20, 10)",0.6694560669456067,0.6487804878048781,0.3305439330543933,0.35121951219512193
26,"(30, 20, 30)",0.6631799163179917,0.6487804878048781,0.3368200836820084,0.35121951219512193
27,"(15, 30, 15)",0.6589958158995816,0.6487804878048781,0.3410041841004184,0.35121951219512193
28,"(10, 35, 35)",0.6694560669456067,0.6439024390243903,0.3305439330543933,0.35609756097560974
29,"(10, 30, 5)",0.6527196652719666,0.6439024390243903,0.3472803347280335,0.35609756097560974
30,"(5, 25, 10)",0.6610878661087866,0.6390243902439025,0.3389121338912134,0.36097560975609755
31,"(30, 15, 10)",0.6569037656903766,0.6390243902439025,0.34309623430962344,0.36097560975609755
32,"(5, 5, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
33,"(5, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
34,"(5, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
35,"(5, 5, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
36,"(5, 5, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
37,"(5, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
38,"(5, 10, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
39,"(5, 10, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
40,"(5, 15, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
